Education_Level,Time_since_promotion,Growth_Rate,Travel_Rate,Post_Level,Pay_Scale,Work_Life_balance,Attrition_rate,Ratio_Age_Time_of_service
5,0,39,2,3,4.0,4.0,0.2637,0.0
3,2,31,0,2,9.0,1.0,0.0759,0.21739130434782608
3,3,38,2,1,5.0,2.0,0.2161,0.21428571428571427
3,2,27,2,4,8.0,2.0,0.4617,0.48148148148148145
3,3,72,0,1,10.0,2.0,0.6961,0.2727272727272727
3,3,33,0,2,6.0,1.0,0.2656,0.23333333333333334
2,1,72,2,5,6.0,2.0,0.0618,0.10095197961959125
4,4,50,2,5,5.0,4.0,0.1983,0.27906976744186046
4,1,46,1,1,6.0,4.0,0.2744,0.2
3,3,51,1,2,4.0,2.0,0.1571,0.47952190319305843
3,1,20,1,4,7.0,2.0,0.0088,0.20833333333333334
3,4,67,1,5,5.0,1.0,0.0882,0.358974358974359
4,3,68,0,4,6.0,4.0,0.2711,0.1111111111111111
4,2,67,0,3,9.0,2.0,0.1519,0.29411764705882354
1,3,37,1,3,2.0,1.0,0.1593,0.6140350877192983
4,2,48,0,5,4.0,1.0,0.23,0.12903225806451613
3,4,27,0,1,5.0,2.0,0.0672,0.5
3,2,63,1,2,6.0,3.0,0.046,0.5294117647058824
4,1,64,0,2,5.0,4.0,0.1008,0.43902439024390244
4,1,22,1,3,7.0,1.0,0.0871,0.21428571428571427
4,4,52,0,2,5.0,3.0,0.0449,0.6057118777175474
3,2,66,1,4,5.0,2.0,0.1544,0.2702702702702703
3,3,38,1,3,4.0,1.0,0.0068,0.45
4,4,22,0,3,6.0,2.0,0.2197,0.5577110073901206
1,2,29,2,1,6.0,1.0,0.1379,0.42592592592592593
4,1,54,0,3,7.0,4.0,0.2384,0.54
1,2,27,0,3,6.0,2.0,0.1313,0.2777777777777778
2,2,23,2,1,5.0,1.0,0.042,0.35294117647058826
1,3,47,1,5,5.0,1.0,0.1675,0.35714285714285715
4,4,59,1,2,4.0,3.0,0.9262,0.32432432432432434
4,3,59,0,3,4.0,2.0,0.1291,0.3793103448275862
5,3,71,1,2,5.0,1.0,0.1577,0.17857142857142858
5,4,57,1,4,5.0,3.0,0.0645,0.1875
5,1,52,0,3,3.0,3.0,0.1883,0.18181818181818182
3,2,46,0,2,8.0,1.0,0.255,0.42857142857142855
5,4,63,1,2,5.0,4.0,0.472,0.2549019607843137
3,4,51,0,2,8.0,3.0,0.1183,0.2777777777777778
2,1,72,1,2,5.0,3.0,0.0026,0.35185185185185186
3,2,29,0,4,5.0,2.0,0.1475,0.35
3,4,61,1,5,4.0,4.0,0.1746,0.25
1,2,43,1,1,8.0,1.0,0.1136,0.15384615384615385
2,4,32,0,3,6.0,3.0,0.0386,0.1724137931034483
3,2,69,1,3,3.0,5.0,0.4098,0.2857142857142857
3,3,58,1,3,6.0,1.0,0.0059,0.26666666666666666
4,3,40,0,5,7.0,1.0,0.089,0.23809523809523808
1,1,72,0,3,5.0,3.0,0.2695,0.49230769230769234
5,2,59,2,3,7.0,2.0,0.1526,0.36
2,2,38,1,2,8.0,3.0,0.4841,0.20833333333333334
4,2,39,1,4,9.0,3.0,0.0578,0.24444444444444444
5,3,50,0,3,3.0,1.0,0.0634,0.15217391304347827
5,3,70,0,5,4.0,1.0,0.1431,0.24
3,3,24,1,1,5.0,1.0,0.4611,0.17391304347826086
3,1,23,1,3,8.0,4.0,0.284,0.05
4,3,57,1,3,9.0,2.0,0.1482,0.5
4,4,33,1,4,8.0,3.0,0.1993,0.38333333333333336
1,2,34,2,1,7.0,2.0,0.1031,0.13636363636363635
3,1,67,2,2,4.0,3.0,0.2388,0.05
3,2,20,1,1,4.0,1.0,0.6453,0.4745762711864407
3,1,67,1,1,1.0,3.0,0.1186,0.5106382978723404
3,2,33,1,2,7.0,1.0,0.2676,0.5660377358490566
4,1,28,0,4,6.0,1.0,0.094,0.3611111111111111
3,3,66,1,3,6.0,2.0,0.0363,0.17142857142857143
5,1,61,1,2,4.0,1.0,0.035,0.6084120080619497
4,4,27,1,3,5.0,4.0,0.0163,0.47952190319305843
4,4,49,1,2,6.0,4.0,0.1629,0.37142857142857144
3,2,59,2,3,5.0,5.0,0.0579999999999999,0.3333333333333333
3,3,55,2,5,7.0,1.0,0.1529,0.12903225806451613
4,2,36,0,3,5.0,2.0,0.1309,0.07571398471469343
3,1,50,2,3,8.0,4.0,0.1956,0.36363636363636365
3,4,60,1,2,6.0,2.0,0.0344,0.20833333333333334
1,4,68,0,4,8.0,2.0,0.2396,0.5354025670945157
3,4,38,1,5,7.0,4.0,0.1938,0.125
3,3,62,1,2,4.0,3.0,0.1589,0.3125
3,2,33,2,3,6.0,2.0,0.1826,0.09523809523809523
2,2,73,1,4,4.0,3.0,0.7367,0.0967741935483871
4,4,65,1,3,7.0,3.0,0.1293,0.49019607843137253
3,2,56,2,5,8.0,2.0,0.1212,0.24324324324324326
5,3,49,0,4,5.0,4.0,0.6957,0.2
3,1,63,0,3,8.0,3.0,0.2334,0.1111111111111111
2,4,57,0,2,7.0,3.0,0.0151,0.3888888888888889
3,1,29,2,4,5.0,3.0,0.0213,0.1111111111111111
4,4,49,1,3,7.0,3.0,0.2573,0.3728813559322034
2,3,47,0,1,6.0,1.0,0.2365,0.12618997452448905
3,4,63,1,3,6.0,1.0,0.2514,0.5538461538461539
3,3,72,1,2,4.0,1.0,0.1657,0.3111111111111111
2,3,33,0,3,8.0,3.0,0.4422,0.20833333333333334
3,1,53,1,3,6.0,3.0,0.235,0.17857142857142858
5,4,57,1,5,9.0,2.0,0.004,0.3888888888888889
4,2,60,1,1,4.0,2.0,0.5882,0.16666666666666666
3,1,55,0,2,4.0,2.0,0.2572,0.5084745762711864
5,3,69,1,2,4.0,3.0,0.0012,0.375
4,3,62,0,2,8.0,1.0,0.0226,0.2903225806451613
3,1,55,0,3,3.0,4.0,0.1409,0.32432432432432434
3,4,61,1,1,4.0,3.0,0.14,0.2682926829268293
5,3,46,2,1,8.0,3.0,0.1046,0.3783783783783784
3,3,68,0,3,6.0,1.0,0.0385,0.20833333333333334
3,1,48,0,3,1.0,1.0,0.7559,0.14285714285714285
3,2,64,1,3,6.0,2.0,0.0195,0.38
4,2,36,1,1,6.0,1.0,0.2702,0.4
4,4,65,1,1,5.0,3.0,0.1402,0.3709677419354839
3,2,33,1,3,2.0,3.0,0.1892,0.3148148148148148
3,1,37,0,2,8.0,4.0,0.5122,0.05
3,1,65,1,1,5.0,3.0,0.0969999999999999,0.44680851063829785
5,3,59,0,4,5.0,1.0,0.0269,0.3142857142857143
4,1,70,1,5,6.0,3.0,0.1776,0.11538461538461539
4,2,73,1,2,8.0,3.0,0.0242,0.3333333333333333
4,2,53,1,2,7.0,2.0,0.2974,0.576271186440678
5,1,22,1,2,6.0,2.0,0.1512,0.1935483870967742
4,0,42,1,2,7.0,3.0,0.1638,0.0
3,3,21,1,3,1.0,1.0,0.0726,0.6333333333333333
3,4,69,1,3,4.0,1.0,0.0211,0.4542839082881606
4,3,40,0,1,7.0,3.0,0.1772,0.18518518518518517
4,1,47,0,2,9.0,1.0,0.7234,0.05
3,3,73,0,2,8.0,4.0,0.0518,0.21621621621621623
3,3,59,1,4,4.0,3.0,0.0671,0.6031746031746031
2,2,37,1,3,10.0,2.0,0.1462,0.0967741935483871
2,2,24,1,5,7.0,3.0,0.083,0.3125
2,3,31,2,3,6.0,1.0,0.7402,0.4542839082881606
4,2,69,1,3,7.0,1.0,0.1732,0.17857142857142858
3,1,35,0,3,3.0,4.0,0.2795,0.6031746031746031
3,2,48,1,2,3.0,4.0,0.1588,0.11538461538461539
2,1,55,0,5,6.0,2.0,0.9696,0.45652173913043476
3,1,40,1,4,1.0,2.0,0.1887,0.05
4,3,30,1,2,8.0,1.0,0.0508,0.5319148936170213
3,1,58,2,1,5.0,3.0,0.1657,0.20833333333333334
3,2,39,0,3,5.0,1.0,0.0482,0.5873015873015873
4,0,44,0,4,4.0,3.0,0.001,0.0
3,1,74,1,2,8.0,1.0,0.0242,0.4642857142857143
3,4,35,0,3,6.0,3.0,0.1162,0.3770491803278688
4,2,55,1,5,7.0,3.0,0.2907,0.07692307692307693
4,0,68,1,3,9.0,3.0,0.0505,0.0
5,3,58,2,4,7.0,2.0,0.1175,0.391304347826087
3,2,32,0,3,6.0,4.0,0.074,0.11538461538461539
1,2,39,2,1,5.0,3.0,0.4052,0.20833333333333334
4,4,34,0,2,8.0,3.0,0.2223,0.5932203389830508
3,1,48,1,3,6.0,1.0,0.1663,0.24
3,0,37,0,3,5.0,3.0,0.0617,0.0
4,1,59,2,2,8.0,4.0,0.1744,0.421875
4,3,53,0,3,7.0,5.0,0.0834,0.35714285714285715
3,4,21,0,1,8.0,2.0,0.0579,0.09302325581395349
4,3,66,2,4,4.0,2.0,0.2229,0.11538461538461539
2,4,70,1,2,7.0,1.0,0.2345,0.656187867527343
4,0,45,0,3,8.0,2.0,0.1622,0.0
4,1,67,0,4,5.0,3.0,0.0785,0.26666666666666666
1,0,20,1,3,4.0,4.0,0.2276,0.0
4,2,69,0,4,5.0,3.0,0.024,0.5294117647058824
3,2,66,1,1,6.0,4.0,0.2394,0.5517241379310345
3,0,20,1,3,9.0,2.0,0.1863,0.0
1,3,65,0,3,9.0,4.0,0.0553,0.20833333333333334
4,2,32,2,4,8.0,1.0,0.2109,0.34285714285714286
5,2,72,0,4,6.0,3.0,0.0949,0.2702702702702703
4,0,65,1,3,5.0,2.0,0.8190000000000001,0.0
3,3,27,1,3,6.0,2.0,0.1176,0.0967741935483871
3,4,61,0,1,8.0,2.0,0.9391,0.37142857142857144
3,3,52,1,3,5.0,2.0,0.1092,0.20689655172413793
4,1,53,2,3,10.0,1.0,0.1715,0.46551724137931033
5,3,24,2,4,6.0,4.0,0.1213,0.5645161290322581
3,4,58,0,4,5.0,3.0,0.1623,0.4
3,3,41,1,2,6.0,2.0,0.1108,0.34210526315789475
3,2,53,1,3,6.0,4.0,0.0932,0.09523809523809523
1,3,25,0,2,8.0,1.0,0.0069,0.4716981132075472
4,4,63,1,2,7.0,3.0,0.1015,0.2631578947368421
1,4,24,2,4,7.0,1.0,0.1001,0.56
3,1,57,1,2,6.0,1.0,0.0543,0.33462660443407233
1,1,35,1,2,8.0,2.0,0.5428,0.21875
3,1,72,1,3,3.0,1.0,0.0836,0.21621621621621623
3,4,71,1,2,8.0,3.0,0.085,0.15217391304347827
3,1,62,0,2,4.0,3.0,0.0108,0.1111111111111111
4,3,67,1,4,8.0,3.0,0.8835,0.14814814814814814
3,1,38,1,3,9.0,3.0,0.0091,0.4807692307692308
5,1,68,0,1,8.0,3.0,0.0942,0.05
4,1,66,1,3,4.0,2.0,0.2214,0.5272727272727272
4,1,28,1,5,9.0,2.0,0.0019,0.11538461538461539
3,3,69,0,3,2.0,3.0,0.1718,0.40384615384615385
3,3,60,1,3,8.0,1.0,0.251,0.4262295081967213
3,3,45,2,4,5.0,4.0,0.1543,0.13636363636363635
5,2,30,1,3,8.0,1.0,0.1583,0.3785699235734672
4,1,58,1,2,7.0,3.0,0.093,0.2
2,4,49,0,2,4.0,4.0,0.1589,0.28125
3,4,41,0,3,7.0,2.0,0.0756,0.18518518518518517
5,1,33,1,1,4.0,3.0,0.1525,0.30952380952380953
3,4,68,0,3,8.0,4.0,0.8769,0.18518518518518517
3,1,68,1,1,8.0,2.0,0.2293,0.09523809523809523
4,2,51,0,3,6.0,2.0,0.0478,0.30612244897959184
2,2,25,2,3,5.0,3.0,0.0544,0.45454545454545453
4,1,30,1,2,5.0,4.0,0.6302,0.17391304347826086
4,4,72,0,4,7.0,1.0,0.1347,0.3125
3,3,46,1,4,4.0,3.0,0.0,0.13636363636363635
3,3,37,1,2,5.0,4.0,0.0777,0.18518518518518517
3,4,26,1,2,2.0,1.0,0.0223,0.4444444444444444
4,3,48,0,5,8.0,4.0,0.1191,0.24489795918367346
2,1,36,0,3,7.0,1.0,0.0559,0.3280939337636715
5,3,29,0,3,4.0,4.0,0.1962,0.4745762711864407
3,1,63,2,4,6.0,4.0,0.9299,0.0967741935483871
4,0,50,2,5,5.0,2.0,0.1306,0.0
3,3,50,1,1,5.0,3.0,0.1038,0.23255813953488372
3,4,74,1,5,8.0,1.0,0.1045,0.28125
2,2,58,0,1,9.0,2.0,0.1152,0.13636363636363635
4,1,43,1,2,4.0,1.0,0.0433,0.32608695652173914
5,3,35,1,2,8.0,4.0,0.2683,0.46153846153846156
3,1,65,1,2,4.0,3.0,0.1006,0.05
5,1,31,0,5,8.0,1.0,0.1965,0.32142857142857145
3,4,33,1,3,6.0,1.0,0.001,0.17857142857142858
3,1,35,0,2,6.0,3.0,0.2568,0.3125
3,4,37,1,3,10.0,2.0,0.042,0.4339622641509434
3,1,37,1,3,5.0,3.0,0.1353,0.38333333333333336
4,1,60,2,2,6.0,1.0,0.0089,0.3684210526315789
3,4,71,2,2,6.0,2.0,0.0155,0.18518518518518517
3,2,69,0,2,5.0,1.0,0.3777,0.38461538461538464
3,4,44,0,3,8.0,1.0,0.1908,0.40540540540540543
1,4,48,1,1,8.0,3.0,0.0098,0.2903225806451613
4,3,42,1,2,7.0,2.0,0.2679,0.14285714285714285
4,2,73,0,3,8.0,4.0,0.0902,0.18518518518518517
5,1,30,2,4,5.0,2.0,0.175,0.24
2,2,59,0,3,5.0,2.0,0.022,0.4444444444444444
4,2,67,1,2,5.0,2.0,0.0171,0.4406779661016949
1,1,49,0,3,4.0,4.0,0.0664,0.15217391304347827
4,1,66,1,5,5.0,4.0,0.1919,0.3783783783783784
2,1,46,1,1,6.0,4.0,0.1496,0.2702702702702703
5,3,42,1,3,6.0,1.0,0.0335,0.3617584912800782
4,1,53,0,3,4.0,1.0,0.1161,0.34545454545454546
5,2,29,0,2,2.0,2.0,0.0661,0.13636363636363635
3,2,31,1,3,8.0,2.0,0.0461,0.15384615384615385
3,1,71,1,2,5.0,1.0,0.0312,0.09523809523809523
4,2,29,1,2,4.0,4.0,0.1411,0.18518518518518517
4,3,68,0,2,7.0,3.0,0.6940000000000001,0.13636363636363635
1,3,54,1,3,8.0,3.0,0.0774,0.47619047619047616
3,3,23,1,3,5.0,2.0,0.0379,0.21428571428571427
3,1,34,0,4,8.0,3.0,0.1514,0.6057118777175474
4,1,51,0,1,8.0,1.0,0.1247,0.17857142857142858
5,1,51,1,3,6.0,2.0,0.0032,0.17142857142857143
3,1,41,0,3,6.0,2.0,0.1995,0.2647058823529412
5,2,25,1,3,3.0,3.0,0.7602,0.17857142857142858
4,3,60,0,3,7.0,4.0,0.2289,0.3076923076923077
2,3,49,2,3,4.0,3.0,0.3863,0.15151515151515152
3,2,38,0,3,8.0,3.0,0.061,0.46774193548387094
3,2,50,1,2,5.0,1.0,0.2199,0.34782608695652173
3,2,29,1,3,4.0,2.0,0.0746,0.15142796942938686
3,2,42,1,1,6.0,1.0,0.1777,0.24390243902439024
4,3,44,1,1,7.0,1.0,0.1643,0.5
4,4,24,1,1,7.0,3.0,0.1051,0.52
4,4,68,0,4,2.0,3.0,0.098,0.21621621621621623
4,3,74,1,3,8.0,1.0,0.049,0.10095197961959125
5,4,42,2,3,7.0,1.0,0.5279,0.4186046511627907
5,1,73,2,4,2.0,1.0,0.0063,0.14705882352941177
2,4,69,0,1,4.0,3.0,0.1569,0.36065573770491804
3,0,29,1,2,10.0,2.0,0.1243,0.0
3,3,26,1,2,7.0,4.0,0.2445,0.6166666666666667
4,2,51,1,2,5.0,4.0,0.2869,0.17391304347826086
4,3,58,2,3,6.0,3.0,0.3228,0.2019039592391825
3,3,55,1,5,8.0,4.0,0.1868,0.32142857142857145
5,4,31,0,4,3.0,3.0,0.1345,0.13333333333333333
3,1,43,1,3,1.0,4.0,0.0943,0.24
4,1,42,1,3,5.0,3.0,0.2896,0.35294117647058826
2,1,35,0,1,10.0,4.0,0.1562,0.28125
4,1,66,1,4,6.0,3.0,0.2534,0.3584905660377358
4,2,67,0,3,8.0,1.0,0.2367,0.09523809523809523
3,4,49,0,1,5.0,2.0,0.2359,0.12903225806451613
4,4,44,1,1,8.0,1.0,0.2183,0.40540540540540543
4,3,72,1,1,7.0,1.0,0.2718,0.13636363636363635
1,2,69,1,3,9.0,4.0,0.1032,0.4444444444444444
2,1,69,1,1,1.0,1.0,0.1578,0.32432432432432434
3,2,32,1,2,2.0,1.0,0.1629,0.06451612903225806
4,4,60,0,2,3.0,4.0,0.0703,0.12903225806451613
3,2,54,2,3,6.0,4.0,0.2512,0.15625
3,4,56,0,3,7.0,4.0,0.1086,0.3448275862068966
3,2,31,2,5,7.0,1.0,0.1639999999999999,0.26666666666666666
1,1,70,1,5,7.0,4.0,0.3107,0.09523809523809523
4,4,22,0,2,8.0,2.0,0.0189,0.14814814814814814
4,3,69,2,3,6.0,1.0,0.1543,0.07571398471469343
3,4,47,1,4,5.0,2.0,0.0905,0.55
3,4,23,1,5,8.0,1.0,0.2459,0.6206896551724138
4,1,56,0,3,4.0,3.0,0.0206,0.5076923076923077
4,1,30,2,3,9.0,3.0,0.2291,0.24
3,1,37,0,2,5.0,3.0,0.0403,0.2
1,3,31,2,2,8.0,1.0,0.2188,0.25806451612903225
1,4,70,0,4,5.0,1.0,0.0607,0.3611111111111111
2,3,63,2,2,6.0,3.0,0.2272,0.36666666666666664
1,1,42,1,3,6.0,3.0,0.0291,0.5166666666666667
4,4,55,1,2,4.0,1.0,0.0527,0.2553191489361702
5,1,73,1,3,2.0,2.0,0.0478,0.2830188679245283
3,2,51,1,4,5.0,4.0,0.0263,0.22916666666666666
4,2,21,0,2,5.0,4.0,0.0926,0.23404255319148937
1,4,62,1,1,2.0,1.0,0.2322,0.25
5,4,68,0,3,6.0,4.0,0.3604,0.5538461538461539
2,0,40,2,3,2.0,1.0,0.0052,0.0
2,2,41,1,3,2.0,3.0,0.2283,0.15384615384615385
3,2,20,1,2,6.0,3.0,0.1385,0.46938775510204084
2,4,54,2,2,2.0,2.0,0.2979,0.35294117647058826
4,3,20,0,3,5.0,1.0,0.7669,0.24
3,2,64,1,3,3.0,4.0,0.0945,0.14285714285714285
4,1,32,1,3,8.0,4.0,0.2653,0.37254901960784315
2,4,33,1,3,2.0,2.0,0.2529,0.17391304347826086
3,1,27,1,3,5.0,4.0,0.1899,0.42105263157894735
3,1,34,1,2,6.0,3.0,0.0596,0.20833333333333334
3,1,30,1,3,9.0,1.0,0.0592,0.07692307692307693
2,4,60,1,3,2.0,1.0,0.1813,0.1766659643342847
3,3,59,1,1,8.0,1.0,0.1421,0.14285714285714285
4,2,44,2,1,5.0,1.0,0.1305,0.09523809523809523
2,4,40,1,2,4.0,3.0,0.5785,0.42105263157894735
4,4,42,0,3,4.0,1.0,0.0425,0.4426229508196721
2,2,25,1,4,7.0,1.0,0.1043,0.13636363636363635
2,2,64,0,3,5.0,2.0,0.0416,0.09523809523809523
3,2,52,1,3,6.0,3.0,0.1919,0.09523809523809523
2,3,42,1,3,4.0,3.0,0.2638,0.15384615384615385
3,2,27,2,4,8.0,4.0,0.0311,0.2647058823529412
3,1,73,1,4,4.0,2.0,0.4429,0.4583333333333333
2,2,42,1,4,8.0,3.0,0.1574,0.5714285714285714
1,1,51,0,5,5.0,1.0,0.192,0.6307692307692307
5,2,42,0,3,9.0,2.0,0.609,0.12903225806451613
4,1,48,1,2,9.0,1.0,0.1716,0.37209302325581395
3,4,62,0,3,4.0,4.0,0.0221,0.578125
4,1,20,0,2,4.0,4.0,0.1293,0.2903225806451613
4,1,55,2,3,2.0,2.0,0.1343,0.3111111111111111
4,1,56,1,5,5.0,2.0,0.1737,0.05
3,3,40,0,3,8.0,3.0,0.1555,0.1724137931034483
1,1,73,1,4,8.0,2.0,0.1671,0.35555555555555557
1,1,52,0,3,8.0,1.0,0.0123,0.36
4,1,48,0,3,8.0,4.0,0.0482,0.4909090909090909
4,4,27,1,2,6.0,3.0,0.2451,0.2727272727272727
3,1,64,0,3,7.0,4.0,0.4217,0.4827586206896552
3,3,74,2,2,8.0,2.0,0.0473,0.5538461538461539
3,4,32,1,3,9.0,3.0,0.1852,0.23529411764705882
4,2,36,1,2,6.0,3.0,0.0474,0.38461538461538464
1,2,52,0,2,5.0,2.0,0.7447,0.3028559388587737
4,4,72,0,4,9.0,1.0,0.2466,0.24
4,4,63,0,2,6.0,1.0,0.0376,0.5517241379310345
3,1,47,1,3,5.0,4.0,0.0321,0.125
4,2,42,0,2,5.0,3.0,0.0412,0.28846153846153844
1,3,66,2,3,5.0,3.0,0.1824,0.5084745762711864
3,3,26,2,3,8.0,5.0,0.1725,0.13636363636363635
3,2,31,0,3,5.0,4.0,0.1506,0.2
3,2,45,1,2,6.0,1.0,0.1321,0.09523809523809523
3,3,42,1,3,8.0,1.0,0.1618,0.13636363636363635
3,3,50,0,3,5.0,2.0,0.5346,0.21428571428571427
1,1,45,2,4,8.0,3.0,0.0747,0.4666666666666667
3,3,27,1,2,8.0,2.0,0.1822,0.5
3,3,68,1,2,8.0,1.0,0.0449,0.35135135135135137
2,4,64,0,2,6.0,1.0,0.0834,0.49206349206349204
3,2,32,2,3,4.0,2.0,0.1666,0.09523809523809523
5,1,69,1,2,4.0,2.0,0.0177,0.375
1,4,56,2,2,7.0,3.0,0.1873,0.2019039592391825
4,4,65,1,4,7.0,2.0,0.037,0.2972972972972973
1,1,73,1,4,6.0,3.0,0.1856,0.5370370370370371
5,3,35,0,3,5.0,1.0,0.1784,0.24
3,3,55,2,3,5.0,5.0,0.0694,0.2857142857142857
1,1,35,0,2,8.0,3.0,0.1362,0.17142857142857143
4,1,25,0,3,4.0,1.0,0.1761,0.5294117647058824
5,2,24,1,5,5.0,1.0,0.1358,0.37142857142857144
4,2,31,1,2,7.0,2.0,0.2873,0.4423076923076923
4,4,69,1,4,8.0,4.0,0.1257,0.2692307692307692
4,1,50,2,3,4.0,1.0,0.1938,0.0975609756097561
3,3,65,1,4,4.0,1.0,0.1918,0.38095238095238093
3,2,24,1,3,5.0,3.0,0.1962,0.5517241379310345
3,3,52,2,1,8.0,1.0,0.0187,0.28205128205128205
3,0,42,1,3,8.0,1.0,0.0997,0.0
5,1,41,1,3,4.0,2.0,0.118,0.3508771929824561
3,3,23,1,4,6.0,1.0,0.0147,0.14814814814814814
4,3,65,0,3,2.0,2.0,0.2603,0.23333333333333334
4,1,54,0,5,4.0,4.0,0.9853,0.48148148148148145
1,4,67,0,3,8.0,3.0,0.0937,0.2972972972972973
3,3,60,1,5,9.0,3.0,0.3965,0.20833333333333334
2,1,51,1,3,8.0,3.0,0.093,0.18181818181818182
4,2,69,1,4,7.0,2.0,0.4848,0.42857142857142855
3,4,58,0,2,5.0,4.0,0.0689,0.20833333333333334
1,3,29,0,3,5.0,4.0,0.1912,0.2222222222222222
4,1,73,0,5,5.0,1.0,0.221,0.17857142857142858
4,2,55,1,1,1.0,4.0,0.2238,0.5555555555555556
2,1,52,2,4,4.0,2.0,0.2452,0.35294117647058826
3,2,33,0,3,8.0,3.0,0.0209,0.24
3,2,72,0,1,4.0,4.0,0.0415,0.28888888888888886
4,3,28,0,5,6.0,5.0,0.546,0.23684210526315788
4,0,60,1,3,4.0,1.0,0.0172,0.0
3,2,46,0,4,7.0,3.0,0.4208,0.14285714285714285
2,3,62,0,2,8.0,1.0,0.1458,0.5148101606678036
4,4,24,1,3,8.0,1.0,0.0558,0.2571428571428571
3,2,71,1,5,8.0,1.0,0.2348,0.17391304347826086
4,3,36,1,3,4.0,2.0,0.1021,0.2553191489361702
3,3,28,0,1,8.0,3.0,0.6255,0.5357142857142857
3,1,51,1,3,6.0,1.0,0.0576,0.25806451612903225
4,1,52,0,3,8.0,1.0,0.7444,0.42592592592592593
4,1,56,1,4,8.0,2.0,0.2874,0.4
4,1,24,1,3,5.0,1.0,0.0838,0.5692307692307692
3,2,22,0,4,4.0,1.0,0.0101,0.13636363636363635
4,3,63,0,4,2.0,1.0,0.2415,0.44680851063829785
3,4,67,0,2,4.0,2.0,0.0909,0.2222222222222222
3,2,57,1,2,9.0,4.0,0.2273,0.6
4,4,32,1,3,5.0,2.0,0.1644,0.1724137931034483
3,3,62,1,4,6.0,1.0,0.6831,0.6309498726224453
3,3,54,1,3,9.0,1.0,0.1478,0.15384615384615385
3,3,24,2,2,8.0,3.0,0.1527,0.13636363636363635
3,1,37,1,3,1.0,2.0,0.0643,0.20833333333333334
4,2,45,0,3,6.0,2.0,0.2273,0.6
1,3,58,1,3,7.0,4.0,0.2735,0.5
1,2,58,1,3,3.0,2.0,0.2557,0.2857142857142857
3,1,62,2,3,5.0,1.0,0.0069999999999999,0.17777777777777778
3,1,31,1,3,8.0,3.0,0.1627,0.06451612903225806
2,3,65,2,5,1.0,2.0,0.1744,0.21621621621621623
4,2,52,1,1,10.0,1.0,0.1997,0.11538461538461539
3,2,22,1,3,4.0,1.0,0.2447,0.32653061224489793
3,1,29,0,2,5.0,3.0,0.1735,0.1875
3,2,22,1,3,4.0,1.0,0.0441,0.3
4,2,31,1,4,5.0,2.0,0.1845,0.17391304347826086
3,2,34,0,4,8.0,2.0,0.2729,0.5
3,2,32,0,3,7.0,1.0,0.1488,0.13636363636363635
2,4,22,0,3,6.0,1.0,0.1121,0.4
3,0,39,0,2,5.0,3.0,0.1202,0.0
2,2,65,0,3,5.0,3.0,0.0877,0.23333333333333334
3,2,61,1,3,8.0,4.0,0.1037,0.3333333333333333
3,2,21,0,4,9.0,2.0,0.2599,0.20833333333333334
5,3,23,1,5,6.0,4.0,0.2102,0.13636363636363635
