Compensation_and_Benefits,Work_Life_balance,Attrition_rate
1,1.0,0.11031410815403608
0,4.0,0.05873382449028319
1,4.0,0.14255217196562422
0,4.0,0.08290095586136662
1,4.0,0.1582447217144957
1,2.0,0.017973878787318993
0,3.0,0.019503642411495388
0,3.0,0.13562960756295553
0,3.0,0.036268890497497805
0,1.0,0.13216728045200596
0,1.0,0.051915743646367696
0,3.0,0.13500268350849617
0,3.0,0.026950037751871662
1,1.0,0.0459742096487452
1,2.0,0.0422129896296143
1,4.0,0.024533799002480698
1,4.0,0.0733587822360391
0,1.0,0.1366413282963459
1,3.0,0.13536627716670183
1,3.0,0.09886529913696793
0,2.0,0.15519140887964855
0,1.0,0.20887514535235094
0,4.0,0.0745315404079071
0,4.0,0.14663557927032372
0,2.0,0.1430577051372425
1,3.0,0.05111308942256664
0,1.0,0.05082009897185487
0,1.0,0.09481550379300692
0,3.0,0.1969188904090211
1,1.0,0.038036445659047693
1,1.0,0.08040950864668985
0,3.0,0.12234004100284421
0,4.0,0.02865432934186703
0,2.0,0.1821084414042905
1,3.0,0.10784635280168096
1,1.0,0.1223788170281419
0,2.0,0.19938723762975874
1,1.0,0.11409142249039872
0,4.0,0.09419461475269218
1,2.0,0.09675837476596509
0,2.0,0.11498069614060519
0,3.0,0.10697906046186209
0,2.0,0.11215660877424746
1,1.0,0.01190233387857693
1,3.0,0.14070735021347627
0,4.0,0.17905619962181982
1,2.0,0.04182383625403496
1,3.0,0.11970157642835533
0,3.0,0.04190174712575664
0,1.0,0.1411655170095434
0,1.0,0.03407186799506289
0,4.0,0.029499807872866185
0,3.0,0.036994417277221005
0,3.0,0.1185748946634568
0,5.0,0.11447359215904059
0,4.0,0.10470649349949954
0,1.0,0.1098255913753097
0,2.0,0.19288076858560924
0,3.0,0.06175002314425944
0,2.0,0.11849386562831307
1,1.0,0.06752153933045862
0,2.0,0.11193913724353723
1,2.0,0.016885725859463352
0,2.0,0.033579440595273805
0,3.0,0.11986136104897761
0,1.0,0.1169401633282083
0,5.0,0.05810859925990562
0,3.0,0.09771671314042012
0,1.0,0.09751567608853287
0,2.0,0.15253703068915772
0,4.0,0.09231043095872193
0,1.0,0.12307379402089122
1,1.0,0.1223012474209961
0,3.0,0.1239916804601279
1,1.0,0.01779300001606962
1,1.0,0.07768564476085175
0,2.0,0.08816942526580462
0,1.0,0.014134845440719126
1,2.0,0.1452157141790957
1,4.0,0.2163467955964777
0,3.0,0.07403908704286204
1,3.0,0.17509331796228048
1,3.0,0.07360659326995107
0,2.0,0.18747651148777578
1,4.0,0.057760023398578754
0,4.0,0.12206811671424313
0,1.0,0.1329200770312771
0,2.0,0.14073798736340115
1,3.0,0.019772175823430115
0,4.0,0.037235508454889134
1,5.0,0.19398929962652064
0,1.0,0.01643028217323758
0,3.0,0.178921136655441
1,1.0,0.13747934174297807
1,1.0,0.04964214690441453
1,2.0,0.15256262546079824
0,1.0,0.06778091581092428
0,1.0,0.009830627838842134
1,1.0,0.13959551592056435
0,2.0,0.07230010525505072
0,4.0,0.13503581016168278
0,1.0,0.10338426077965225
0,3.0,0.10568683509071673
1,2.0,0.054511455923012306
1,2.0,0.13503581016168278
1,4.0,0.14889966367352794
1,2.0,0.14388232487773217
0,1.0,0.006869761891478434
1,3.0,0.11022547233058583
0,2.0,0.11527521737617766
0,1.0,0.12531258468311843
0,1.0,0.14058466875850528
0,3.0,0.11489637302515783
1,1.0,0.039309356070925235
0,2.0,0.11942125222361857
1,2.0,0.1487366589337948
0,1.0,0.10385848355460138
0,1.0,0.08489072843303824
0,3.0,0.0893682664033286
0,3.0,0.07028298123288937
1,4.0,0.08005768953899092
1,3.0,0.1378310288237765
0,1.0,0.10702489939355933
0,3.0,0.16376491308863195
0,2.0,0.2054174253894929
0,1.0,0.13549805799534553
1,2.0,0.14376512909344752
1,3.0,0.11340808567922162
0,4.0,0.16043132964767154
1,1.0,0.04755744381908802
0,2.0,0.08438229940263609
1,1.0,0.04536657822729261
0,3.0,0.018335062195999202
0,2.0,0.15066567498421002
1,1.0,0.0824989213987643
1,3.0,0.07391566979275002
0,3.0,0.14358895717989514
0,2.0,0.10228504841713672
1,3.0,0.0858450598773291
0,4.0,0.010963663324288822
1,3.0,0.14763929243266946
0,2.0,0.13830788885692594
0,4.0,0.08822419442304585
0,2.0,0.06316623649998337
0,3.0,0.20173327485209658
1,1.0,0.05741056669962806
0,2.0,0.15843024867835362
1,1.0,0.11586142657527532
0,3.0,0.18311796479765188
0,4.0,0.07236262693839501
0,4.0,0.0988156206892674
0,2.0,0.0761186748051192
0,3.0,0.017611929546304746
1,2.0,0.015148593352745043
0,4.0,0.0626284845856581
0,4.0,0.0044458920737547375
1,4.0,0.1098255913753097
0,1.0,0.09194027473770634
1,4.0,0.06443479433407406
1,3.0,0.039625942019701876
0,3.0,0.17931006358632895
0,4.0,0.10088200098844562
0,4.0,0.06483289242712856
0,4.0,0.15005582867990452
1,1.0,0.11259004694461885
1,1.0,0.15251142518800626
1,4.0,0.037716568331572276
1,2.0,0.1406460360706961
1,2.0,0.14898101078061407
0,4.0,0.10739084156607832
1,1.0,0.14889966367352794
1,1.0,0.01086952062539533
1,3.0,0.08550913464519393
0,2.0,0.021905195158135844
0,1.0,0.0673266676296503
1,3.0,0.12467360298982491
1,4.0,0.09517605011033943
0,3.0,0.1440577413432029
0,2.0,0.11493854427422445
0,3.0,0.2082505631105843
0,4.0,0.02941545884070573
1,4.0,0.08898819515985036
0,1.0,0.10151332684420986
0,2.0,0.17015739274101477
1,2.0,0.06674030184200405
0,3.0,0.1349363864930278
1,2.0,0.07459296061237343
1,4.0,0.049863745483318136
0,2.0,0.17371869918332125
1,1.0,0.12448473459250489
0,3.0,0.18675756502166158
0,3.0,0.13011180763229008
1,4.0,0.05321953115838347
0,2.0,0.08789518261796454
1,1.0,0.20871198896971582
0,3.0,0.15271596906911963
1,4.0,0.10366906177292144
0,4.0,0.04612572854824571
0,5.0,0.005710360809300842
1,1.0,0.10734517347545615
0,1.0,0.020307967210355306
0,1.0,0.10870599742271622
0,2.0,0.07768564476085175
0,3.0,0.1291173079579897
0,1.0,0.11881753860563389
0,1.0,0.1915196333200706
0,4.0,0.10257294750007742
1,1.0,0.09716294069251484
0,4.0,0.1039057834202505
0,1.0,0.19640244512753377
1,4.0,0.14204291931126573
0,3.0,0.17855870308236724
0,4.0,0.1600503592566723
0,1.0,0.19848632619382292
0,2.0,0.05264154222914508
0,1.0,0.04429720409953005
1,1.0,0.07148450218771746
0,4.0,0.07875881729214332
1,4.0,0.011808691874881497
0,3.0,0.047031589233844755
1,1.0,0.14736202446410426
0,3.0,0.14641043331142792
0,4.0,0.06849154430519745
1,3.0,0.012089468230367974
0,4.0,0.09512461718076494
0,2.0,0.0007982764368364923
1,3.0,0.0030742458203904975
1,1.0,0.04445044276073051
0,2.0,0.1485186733914027
0,1.0,0.0765425222593966
0,3.0,0.018335062195999202
0,4.0,0.14621279920362956
0,1.0,0.12520017809179493
1,2.0,0.15153041261556627
0,2.0,0.11598655348205122
0,2.0,0.047257186135012175
1,3.0,0.0341537899437388
0,3.0,0.1948983975074796
0,1.0,0.20568398528806567
0,4.0,0.08562121825553418
0,1.0,0.1532496479393794
0,1.0,0.09194027473770634
1,3.0,0.05140548373533577
1,1.0,0.15477356690775448
0,3.0,0.15079746943035993
1,1.0,0.14355955098412485
0,4.0,0.20283573209376482
0,2.0,0.012276403251315402
1,1.0,0.10848051212591149
0,5.0,0.09231043095872193
1,4.0,0.1523832365528612
1,4.0,0.10404754982362828
0,1.0,0.1812125326261279
0,4.0,0.08352996391566493
1,1.0,0.09836745331379973
0,3.0,0.20570648850204165
0,3.0,0.10029578899055865
0,1.0,0.07911444322289056
0,1.0,0.04166789404419331
1,1.0,0.19706329956627353
0,2.0,0.1462975718409
1,1.0,0.11035839523219797
1,4.0,0.14755623583738267
1,4.0,0.20478369199038604
0,1.0,0.049863745483318136
1,2.0,0.08116825526148182
0,1.0,0.10748211385302595
0,2.0,0.10937931455038945
1,4.0,0.020842063330137356
0,1.0,0.020842063330137356
0,2.0,0.0681690134633585
1,4.0,0.10638120186728726
0,3.0,0.01431960434918388
0,4.0,0.13042884523899126
0,3.0,0.15263934545192906
0,4.0,0.12406772316368964
0,4.0,0.1968847896974345
0,3.0,0.07416238258729309
1,1.0,0.11865584978480392
0,4.0,0.12128642095332676
1,3.0,0.12226243627317447
0,3.0,0.06403549974848669
0,1.0,0.038912702279570756
0,3.0,0.08046804494584958
0,1.0,0.09124953563216026
0,2.0,0.07329675296520527
1,3.0,0.08449547565022808
0,2.0,0.12311223825438306
0,1.0,0.1384028870558973
0,3.0,0.05859513066532313
0,3.0,0.14367709993971145
1,2.0,0.12527513267054974
1,1.0,0.11250351945153042
0,3.0,0.16136128888876025
0,2.0,0.05472563238615917
0,4.0,0.14838205638590715
1,1.0,0.10536112551023484
1,3.0,0.08668061497042617
1,3.0,0.17979821467523346
0,4.0,0.07762574586934726
1,2.0,0.09640311457282306
1,1.0,0.07483833893916758
0,4.0,0.005516400916400815
1,4.0,0.1170638080989817
0,2.0,0.006290993684275363
1,5.0,0.028229928432728556
0,1.0,0.0677161201108117
0,2.0,0.1490893129268157
0,1.0,0.016247766262688642
1,2.0,0.09871619313021625
1,1.0,0.1535021376156961
1,2.0,0.09257406891448493
0,2.0,0.15137407947961937
0,5.0,0.011995925986568862
0,4.0,0.0790552447662797
0,1.0,0.13634901782612843
1,3.0,0.1444652932630488
1,4.0,0.038674217409601204
0,1.0,0.11498069614060519
0,3.0,0.14472600119261142
0,3.0,0.06823358382463333
0,1.0,0.062223752749861666
0,4.0,0.012929109723770477
0,1.0,0.15360283837751296
0,3.0,0.14738980436961677
0,4.0,0.1662823202248266
0,2.0,0.09497017110102386
0,2.0,0.09574019670563713
1,1.0,0.11387842067140946
0,3.0,0.09891495404775565
1,1.0,0.007062271483611212
1,3.0,0.1843089054663877
1,4.0,0.014964716008963212
0,1.0,0.15048069550625695
1,4.0,0.1318226698691198
0,1.0,0.2117862085510943
1,1.0,0.14865500098887832
0,2.0,0.13712596026895146
0,1.0,0.043451571243971754
1,3.0,0.18833036009982546
0,1.0,0.08387164374530275
1,3.0,0.11349377861719215
1,4.0,0.08800495910998946
1,2.0,0.100099645069528
1,2.0,0.09721340332970371
0,1.0,0.0893682664033286
0,4.0,0.04337445819448163
1,1.0,0.11656820821025013
0,4.0,0.022873841133874924
0,2.0,0.027121271627818223
0,4.0,0.11106420261686951
1,1.0,0.09262672075788723
0,4.0,0.03553996927146681
1,4.0,0.15297068693261753
1,1.0,0.08489072843303824
0,2.0,0.20604064438563557
0,1.0,0.15217757485732236
1,1.0,0.17675942576011436
0,3.0,0.14423270638294713
0,2.0,0.20878212692668585
1,2.0,0.08226857140072873
0,2.0,0.13433708121258953
0,2.0,0.14638223600185243
0,3.0,0.07756581758050363
0,1.0,0.1250124963291222
0,3.0,0.0687489921498519
0,2.0,0.006869761891478434
0,2.0,0.16687770758889625
1,1.0,0.0352962379550471
0,3.0,0.05264154222914508
0,2.0,0.19954802623562545
0,3.0,0.049863745483318136
0,2.0,0.13376669222219803
0,2.0,0.0637686365345818
1,1.0,0.0676512921433979
1,3.0,0.06303200059745512
0,4.0,0.13526728949021943
0,2.0,0.13811751923127644
0,4.0,0.12249503985887676
0,4.0,0.08169072840466175
1,2.0,0.12116855390614158
0,4.0,0.08221091373723297
0,2.0,0.15893731180478535
0,4.0,0.012649676306814746
0,4.0,0.10024678777837458
0,1.0,0.08192220362462645
0,5.0,0.13028809626110338
0,1.0,0.059631935171269516
0,2.0,0.15380373583478416
1,2.0,0.003467198628757716
0,1.0,0.04267865312498663
1,2.0,0.024533799002480698
0,2.0,0.20444340704782876
0,2.0,0.11468522566950806
1,1.0,0.07941000123988204
1,2.0,0.1462410688124766
1,3.0,0.018695481692315094
1,4.0,0.03553996927146681
0,1.0,0.018154566100572023
0,2.0,0.02626330359476334
0,1.0,0.11498069614060519
1,1.0,0.09594460875428414
0,4.0,0.032258758370890823
1,2.0,0.0012954535566354342
0,2.0,0.14030785641506474
0,2.0,0.08438229940263609
0,1.0,0.03092701908036082
0,2.0,0.1832790647171427
0,2.0,0.2114544869409296
0,1.0,0.1143888023343132
1,2.0,0.030508565650672538
0,1.0,0.11297843322111871
1,3.0,0.09486708416644288
0,1.0,0.033250300676035814
1,3.0,0.015240458799671869
0,1.0,0.1322360196570092
0,3.0,0.09362233105061793
0,1.0,0.08969302338818556
0,3.0,0.1395332363119503
1,3.0,0.05336366181923387
0,4.0,0.1160698757990702
0,4.0,0.16038664691155696
0,2.0,0.0866250998185336
1,2.0,0.006484123254355862
0,1.0,0.10194813620040387
1,3.0,0.21286741452089494
1,3.0,0.08612425269058906
0,4.0,0.061070371863058914
0,1.0,0.10290780363556636
0,2.0,0.12535001985645558
1,3.0,0.0356211287305624
0,3.0,0.14501449945920544
0,1.0,0.036268890497497805
1,3.0,0.11934099531208102
0,1.0,0.08634712078088605
0,1.0,0.12338086206863831
0,4.0,0.19817278025825544
0,4.0,0.14437816673677775
0,2.0,0.022873841133874924
0,4.0,0.007254574940876105
0,1.0,0.0965555138398552
0,3.0,0.014504166922207778
0,3.0,0.11400628062354641
1,1.0,0.11544309042862723
1,2.0,0.1083449687832008
1,3.0,0.145416326823714
0,3.0,0.0306760781003198
1,2.0,0.06256111382902846
0,1.0,0.14495689865430259
1,2.0,0.03192686441974117
0,4.0,0.10748211385302595
0,1.0,0.016156435663736163
0,1.0,0.10829974557189427
0,3.0,0.11502282863485902
1,2.0,0.0768443788847617
0,4.0,0.14677590594723802
0,1.0,0.1298997430505777
0,5.0,0.139813068819223
0,1.0,0.04391341802413276
0,3.0,0.10000143390673658
0,1.0,0.09299457841994907
0,2.0,0.20909151661265585
1,1.0,0.15069205609396194
0,3.0,0.06983745438938248
1,2.0,0.11552691137438419
1,1.0,0.09791736869948396
1,3.0,0.105454294347579
1,1.0,0.17956229697005038
0,3.0,0.13556386165669623
0,4.0,0.10893095863097985
0,3.0,0.11289226456885336
1,3.0,0.20978792798981713
1,2.0,0.08358697977995051
1,3.0,0.09424649151968913
0,4.0,0.21234942838087276
0,1.0,0.057760023398578754
0,2.0,0.030592343739819925
0,1.0,0.11681634860789017
1,1.0,0.18390317122495511
0,2.0,0.14669174583875008
1,3.0,0.20798275204196187
1,3.0,0.12156082105341796
0,1.0,0.04852905060749056
1,3.0,0.20711003564711722
0,3.0,0.04635271594776692
1,2.0,0.04190174712575664
1,2.0,0.018695481692315094
0,1.0,0.06784567926277096
0,2.0,0.031177567475297766
0,2.0,0.058247783559442136
1,4.0,0.13102424536667429
1,4.0,0.20148323395023415
0,2.0,0.20951508576689606
1,1.0,0.02331228265876116
1,1.0,0.12326584158824291
0,3.0,0.0371551863618641
1,3.0,0.04635271594776692
1,1.0,0.13202961932246204
0,2.0,0.0702194292370926
1,1.0,0.006097656929144914
0,3.0,0.06588867006946152
0,2.0,0.13175356439233868
1,4.0,0.12108988668163392
1,3.0,0.11297843322111871
0,4.0,0.04620142978449047
1,2.0,0.11119595983325664
1,1.0,0.06791041048537465
1,3.0,0.0008978190797254504
0,3.0,0.14827255391822883
0,4.0,0.056356885134951025
0,3.0,0.0076385644967508
0,2.0,0.0908223177768481
0,4.0,0.1185748946634568
0,1.0,0.15482287831172944
0,1.0,0.14358895717989514
0,1.0,0.15191952501415318
0,2.0,0.08398531579615255
0,2.0,0.08029235021289502
0,1.0,0.05990709603768888
0,3.0,0.028059856803905193
0,1.0,0.11665099746939947
0,3.0,0.15882247242925418
1,2.0,0.0014939496173704313
0,3.0,0.06791041048537465
1,2.0,0.1402461956923045
0,1.0,0.06134264209413585
0,4.0,0.09140931967071836
0,3.0,0.1072537733409925
0,3.0,0.08398531579615255
0,1.0,0.05642737938281058
0,2.0,0.12249503985887676
0,4.0,0.031760657762336574
0,2.0,0.053075254045497816
0,1.0,0.2134560549633133
1,3.0,0.009071226664224807
0,2.0,0.16956402462686426
1,4.0,0.2083516279592203
0,1.0,0.08017507722126224
0,3.0,0.081516825479432
0,1.0,0.030759768759224478
0,3.0,0.15345172408075064
0,2.0,0.21543323057114802
1,1.0,0.1067954905329326
1,4.0,0.11119595983325664
0,2.0,0.0901784036685536
1,4.0,0.0567793164991679
0,2.0,0.11150268240194794
0,3.0,0.06436832844119901
1,3.0,0.13871865214317383
1,2.0,0.14567337611847386
1,4.0,0.03398990343745515
0,1.0,0.12463586333194691
0,3.0,0.214022159421243
1,2.0,0.11180841274979757
0,4.0,0.20622175149582023
0,1.0,0.1050810947439801
0,1.0,0.093570155869086
0,1.0,0.13990610346366267
0,1.0,0.17550380829682302
0,4.0,0.10083327680695207
0,3.0,0.11523320089332054
1,3.0,0.05942520056312099
0,2.0,0.12338086206863831
0,1.0,0.11447359215904059
0,1.0,0.11731058889713775
1,1.0,0.008213009346169219
1,1.0,0.11735165320109683
0,1.0,0.08556519002997479
1,1.0,0.13741521687806726
1,2.0,0.14512955314740225
0,4.0,0.14780508814720275
0,1.0,0.1446392103203285
1,3.0,0.20610671949270065
1,2.0,0.12199026559838942
1,4.0,0.2099569552855537
0,2.0,0.12195131358284303
1,4.0,0.15066567498421002
0,2.0,0.11302148772830968
0,3.0,0.12482439178562825
0,1.0,0.08701314258578834
0,1.0,0.11845332336806934
1,1.0,0.06536183601272448
0,4.0,9.997302913681965e-05
0,1.0,0.11510703554918814
0,3.0,0.13760742349229615
0,2.0,0.016065056595043373
0,1.0,0.05147848933548612
1,2.0,0.1022369860979466
0,3.0,0.19085702872583968
0,3.0,0.19761607777460155
0,3.0,0.11938113290775026
0,3.0,0.10242909963264901
0,2.0,0.11417648597617096
0,2.0,0.08606846819742756
0,2.0,0.14504328136206873
0,2.0,0.13281785366285606
0,3.0,0.10536112551023484
1,1.0,0.08358697977995051
0,2.0,0.06628241723043454
1,1.0,0.047031589233844755
1,2.0,0.11250351945153042
0,3.0,0.047182025648549564
1,2.0,0.10039372195666758
0,3.0,0.14440722137335074
1,1.0,0.005225070541562855
1,3.0,0.045138072974555056
0,1.0,0.18160713824945254
1,1.0,0.11084419989027632
0,2.0,0.12478672004390808
1,3.0,0.0018903007493887372
0,2.0,0.02916214697830213
1,2.0,0.14186228896497063
1,4.0,0.15854589332680807
0,4.0,0.12018005914975026
0,1.0,0.10423626137063376
1,2.0,0.1456448639199538
1,2.0,0.15555764864316401
1,1.0,0.0547969522044203
0,4.0,0.19685918354312562
1,1.0,0.0547969522044203
0,4.0,0.04912376258479286
1,3.0,0.13779912703376393
0,3.0,0.0605241866592586
0,2.0,0.1153591924571966
0,5.0,0.08035094374122909
0,5.0,0.0341537899437388
0,3.0,0.21527678736620937
1,2.0,0.0638354024388734
1,4.0,0.12315066511856575
1,3.0,0.02427280221684502
0,3.0,0.005613406876477445
0,3.0,0.19668780265733946
0,1.0,0.15472421443577958
0,3.0,0.21528508298866328
1,4.0,0.01068108446428469
0,3.0,0.1322016576611649
1,2.0,0.1851954835213197
0,3.0,0.11044690777788962
1,1.0,0.09372660659144892
0,1.0,0.03578332133472658
0,3.0,0.1724049534800302
1,2.0,0.07648206188258622
0,4.0,0.0638354024388734
0,3.0,0.07929186481912542
0,3.0,0.014688533407049705
0,3.0,0.09124953563216026
0,2.0,0.07060026884359719
0,3.0,0.10816394948398064
0,3.0,0.11689891065171806
1,2.0,0.04755744381908802
1,3.0,0.0017912930048331313
1,1.0,0.09821763861487631
0,3.0,0.008117396584276678
0,2.0,0.025141193335498583
0,3.0,0.16370194156053677
1,3.0,0.0031725632818350754
0,1.0,0.058247783559442136
1,1.0,0.11816900874813803
1,2.0,0.043065609150451496
1,3.0,0.042523591734278554
0,1.0,0.0037613591262032737
0,4.0,0.147694604664835
1,2.0,0.1321328880215481
1,4.0,0.09846721140975898
1,3.0,0.0945055039885258
0,2.0,0.10707071692874394
0,3.0,0.14314653319476686
0,2.0,0.1482999469637759
0,1.0,0.12140412768310882
0,4.0,0.08767531135639892
1,1.0,0.04904955637895709
0,3.0,0.08612425269058906
1,3.0,0.02357479413692951
1,1.0,0.10684141516920652
0,1.0,0.029499807872866185
0,1.0,0.09517605011033943
0,3.0,0.21153149912724706
1,2.0,0.05990709603768888
0,4.0,0.0998047326559156
0,1.0,0.024881155051830223
0,1.0,0.1171049853038022
0,1.0,0.10793720045848969
1,4.0,0.1894529111575017
1,1.0,0.16351256830416458
0,3.0,0.13196069726997472
1,3.0,0.005807262747943374
1,2.0,0.14131757930282457
1,3.0,0.1396577414216312
0,3.0,0.023749571669572953
0,3.0,0.10044265373652574
1,2.0,0.03978398985052814
1,1.0,0.1161115083025125
0,2.0,0.17133988183682528
1,4.0,0.030173015465882743
0,3.0,0.19070775552144767
1,2.0,0.08330162302207934
0,3.0,0.02924662842077799
1,1.0,0.034889174405464005
0,1.0,0.047257186135012175
0,1.0,0.19037455783915788
0,1.0,0.08392849357875572
1,2.0,0.1159031546822366
1,2.0,0.14449431052884346
0,4.0,0.1438237521671523
0,4.0,0.09377870697901075
1,4.0,0.12361043606255216
0,1.0,0.0830728374617491
0,5.0,0.09761624235477957
1,3.0,0.07744587274237391
0,3.0,0.12241757550630654
0,2.0,0.15531374249910587
0,3.0,0.07397739363991337
1,3.0,0.09685966057541685
