Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,Predicciones
M,35.0,1,Married,Springfield,R&D,Analytical,6.0,4,45,2,2,6.0,type2,5.0,0
M,64.0,5,Married,Washington,Sales,Directive,39.0,1,69,1,3,4.0,type2,1.0,1
F,34.0,3,Married,Franklin,IT,Conceptual,8.0,3,20,2,3,9.0,type2,3.0,1
F,51.0,3,Single,Lebanon,IT,Analytical,22.0,4,32,1,2,8.0,type2,1.0,1
F,34.0,3,Married,Lebanon,Sales,Analytical,11.0,4,39,1,2,8.0,type4,3.0,0
M,64.0,3,Married,Springfield,Production,Directive,34.0,4,58,1,3,6.0,type2,1.0,0
F,24.0,3,Single,Springfield,Purchasing,Analytical,5.0,1,33,2,2,4.0,type2,4.0,1
M,57.0,1,Single,Franklin,Operarions,Analytical,19.0,1,28,1,1,7.0,type1,1.0,0
F,65.0,3,Married,Clinton,Purchasing,Directive,32.0,3,58,1,2,3.0,type4,3.0,1
F,52.0,5,Married,Franklin,Operarions,Analytical,18.0,2,31,0,4,8.0,type4,1.0,0
M,44.0,3,Single,Springfield,Logistics,Conceptual,11.0,3,66,1,2,6.0,type3,3.0,1
F,65.0,1,Single,Washington,IT,Directive,29.0,4,41,0,3,7.0,type2,1.0,1
F,28.0,2,Married,Lebanon,Sales,Directive,5.0,3,47,2,3,5.0,type2,3.0,1
M,60.0,5,Married,Lebanon,Accounting and Finance,Conceptual,33.0,1,62,1,3,1.0,type2,3.0,0
F,60.0,4,Married,Franklin,Marketing,Analytical,36.0,2,74,1,4,9.0,type2,1.0,0
F,26.0,5,Single,Franklin,Operarions,Conceptual,4.0,2,56,1,3,6.0,type2,1.0,0
M,20.0,3,Married,Clinton,IT,Conceptual,1.0,1,53,1,5,3.0,type3,1.0,0
F,35.0,3,Single,Springfield,R&D,Behavioral,11.0,3,32,0,2,8.0,type3,2.0,0
F,65.0,2,Married,Washington,Operarions,Conceptual,26.0,1,40,0,3,8.0,type2,3.0,1
F,59.0,3,Married,Franklin,Marketing,Conceptual,21.0,3,32,1,3,6.0,type2,2.0,1
F,33.0,4,Married,Lebanon,Sales,Directive,7.0,4,42,1,5,4.0,type4,2.0,1
M,26.0,5,Married,Franklin,Accounting and Finance,Conceptual,2.0,2,51,1,3,5.0,type2,2.0,0
F,30.0,3,Married,Franklin,R&D,Directive,8.0,2,32,1,2,6.0,type2,1.0,1
M,43.0,4,Single,Lebanon,Marketing,Analytical,11.0,1,59,1,2,5.0,type2,4.0,1
F,59.0,5,Married,Franklin,Purchasing,Conceptual,21.0,3,37,1,3,8.0,type2,2.0,0
F,31.0,3,Married,Lebanon,Human Resource Management,Behavioral,3.0,3,73,2,5,6.0,type1,3.0,0
M,22.0,5,Married,Franklin,Operarions,Behavioral,3.0,3,61,1,3,5.0,type2,1.0,0
F,52.0,1,Single,Franklin,Marketing,Conceptual,27.0,2,38,1,3,4.0,type3,5.0,1
M,46.0,2,Married,Springfield,Sales,Directive,21.0,1,55,0,5,6.0,type3,2.0,1
M,31.0,3,Single,Lebanon,Logistics,Analytical,5.0,3,59,2,3,1.0,type2,3.0,0
F,20.0,3,Married,Lebanon,Sales,Conceptual,1.0,1,72,0,3,8.0,type2,5.0,1
F,44.0,3,Married,Washington,IT,Directive,11.0,3,21,0,3,6.0,type2,3.0,0
M,47.0,1,Single,Washington,IT,Directive,20.0,1,39,0,4,2.0,type3,3.0,1
F,47.0,4,Single,Lebanon,Logistics,Behavioral,15.0,1,65,1,3,6.0,type2,2.0,0
F,22.0,2,Single,Franklin,R&D,Directive,3.0,2,20,0,5,4.0,type2,4.0,1
F,56.0,3,Married,Springfield,Production,Conceptual,33.0,4,38,1,3,6.0,type3,3.0,1
F,42.0,3,Married,Clinton,Sales,Directive,18.0,2,60,1,3,6.0,type2,3.0,0
M,60.0,4,Married,Springfield,Production,Directive,38.0,1,72,0,3,5.0,type3,1.0,0
M,32.0,3,Single,Lebanon,Sales,Directive,4.0,1,55,0,1,1.0,type2,3.0,0
F,26.0,3,Single,Lebanon,Logistics,Directive,4.0,1,74,2,5,6.0,type3,1.0,0
M,32.0,3,Single,Lebanon,Accounting and Finance,Behavioral,6.0,4,33,1,1,7.0,type2,4.0,1
M,20.0,4,Married,Franklin,Sales,Conceptual,1.0,1,35,1,1,9.0,type3,3.0,0
F,30.0,3,Married,Lebanon,Sales,Behavioral,6.0,3,62,1,5,5.0,type3,2.0,1
F,47.0,2,Married,Clinton,Accounting and Finance,Behavioral,15.0,3,44,0,4,6.0,type2,1.0,0
F,28.0,5,Married,Washington,Sales,Analytical,6.0,2,67,0,5,4.0,type2,1.0,1
F,58.0,4,Single,Clinton,Marketing,Directive,21.0,4,24,0,5,5.0,type3,2.0,1
F,22.0,3,Married,Washington,Logistics,Behavioral,3.0,3,24,1,1,3.0,type3,4.0,1
F,60.0,1,Single,Washington,Logistics,Behavioral,23.0,3,37,1,3,3.0,type3,4.0,0
F,65.0,3,Married,Franklin,IT,Directive,29.0,2,73,1,4,7.0,type2,1.0,0
F,45.0,3,Single,Lebanon,Operarions,Conceptual,8.0,4,30,1,1,3.0,type2,1.0,0
F,61.0,3,Married,Washington,Operarions,Conceptual,24.0,3,49,1,2,8.0,type0,4.0,1
F,26.0,3,Married,Springfield,R&D,Conceptual,4.0,1,56,2,1,10.0,type3,4.0,1
F,50.0,4,Single,Clinton,Accounting and Finance,Conceptual,24.0,3,32,2,1,7.0,type2,1.0,1
M,25.0,5,Married,Lebanon,Sales,Directive,6.0,3,58,1,2,7.0,type2,1.0,0
M,28.0,3,Married,Lebanon,Logistics,Conceptual,4.0,4,42,1,2,8.0,type1,3.0,0
M,52.0,5,Married,Springfield,IT,Conceptual,22.0,1,27,1,1,6.0,type2,2.0,0
F,60.0,1,Single,Franklin,Sales,Directive,23.0,1,74,0,4,3.0,type2,3.0,0
M,54.0,2,Married,Springfield,R&D,Directive,27.0,3,59,1,2,5.0,type2,1.0,0
F,55.0,3,Single,Franklin,Security,Behavioral,21.0,4,60,0,2,5.0,type3,1.0,0
F,44.0,2,Married,Franklin,IT,Analytical,16.0,2,51,1,3,9.0,type2,1.0,0
M,32.0,3,Single,Lebanon,Accounting and Finance,Behavioral,6.0,4,33,1,1,7.0,type2,4.0,1
M,29.0,3,Married,Springfield,R&D,Behavioral,5.0,3,28,1,3,8.0,type3,2.0,0
F,59.0,5,Married,Lebanon,Purchasing,Conceptual,33.0,3,69,1,3,5.0,type3,3.0,1
M,58.0,4,Married,Clinton,Sales,Behavioral,19.0,2,63,0,1,4.0,type2,3.0,0
F,53.0,4,Single,Franklin,Logistics,Analytical,29.0,2,22,0,2,4.0,type2,4.0,1
M,51.0,4,Single,Lebanon,IT,Analytical,23.0,1,67,2,4,8.0,type2,1.0,0
F,22.0,4,Married,Washington,Purchasing,Directive,3.0,2,47,1,5,8.0,type3,2.0,1
F,30.0,4,Married,Springfield,Operarions,Directive,8.0,4,25,1,1,6.0,type3,3.0,1
F,54.0,3,Single,Washington,Quality,Analytical,21.0,1,70,1,5,5.0,type2,1.0,0
M,46.0,4,Single,Lebanon,Purchasing,Analytical,14.0,4,32,0,5,6.0,type2,3.0,1
M,53.0,3,Married,Springfield,Logistics,Directive,23.0,2,36,1,1,8.0,type3,3.0,1
F,54.0,5,Single,Washington,Security,Conceptual,15.0,1,51,0,5,5.0,type2,4.0,1
M,41.0,3,Married,Washington,Sales,Conceptual,19.0,1,25,0,1,6.0,type3,4.0,0
M,52.0,3,Single,Lebanon,Logistics,Behavioral,18.0,4,73,1,3,6.0,type2,2.0,0
M,22.0,1,Married,Washington,Operarions,Conceptual,3.0,3,59,1,3,6.0,type2,2.0,1
F,20.0,3,Single,Washington,R&D,Conceptual,1.0,1,69,1,2,3.0,type2,1.0,0
M,55.0,4,Married,Lebanon,R&D,Behavioral,33.0,2,72,0,1,1.0,type2,2.0,0
M,60.0,2,Married,Lebanon,R&D,Conceptual,21.0,4,34,1,4,9.0,type2,3.0,1
F,43.0,3,Married,Lebanon,IT,Behavioral,19.0,2,28,2,2,8.0,type2,2.0,1
F,30.0,5,Married,Franklin,Accounting and Finance,Analytical,8.0,1,69,1,3,6.0,type2,5.0,0
F,32.0,4,Married,Franklin,Purchasing,Conceptual,7.0,4,59,2,1,5.0,type3,3.0,1
M,31.0,1,Married,Springfield,Marketing,Analytical,6.0,2,35,2,4,4.0,type2,3.0,1
F,25.0,3,Married,Springfield,IT,Conceptual,6.0,4,61,1,1,2.0,type3,1.0,0
M,65.0,3,Single,Springfield,Logistics,Conceptual,30.0,4,69,0,5,7.0,type3,1.0,1
M,32.0,4,Married,Washington,Marketing,Analytical,7.0,2,21,0,2,5.0,type2,4.0,0
M,32.0,1,Married,Lebanon,R&D,Analytical,5.0,4,24,1,3,5.0,type2,3.0,1
F,60.0,4,Married,Springfield,IT,Analytical,26.0,2,56,1,1,8.0,type0,3.0,1
F,29.0,4,Married,Lebanon,Sales,Analytical,6.0,3,61,1,5,7.0,type3,4.0,0
F,19.0,1,Single,Washington,Logistics,Analytical,0.0,0,49,1,1,8.0,type2,4.0,1
M,34.0,3,Single,Franklin,Sales,Behavioral,6.0,4,47,0,2,4.0,type4,1.0,1
M,29.0,3,Single,Franklin,Marketing,Directive,6.0,1,64,1,4,1.0,type2,1.0,0
F,54.0,2,Married,Washington,Production,Conceptual,29.0,2,26,1,3,6.0,type2,3.0,0
F,38.0,1,Single,Lebanon,Quality,Behavioral,11.0,4,27,1,2,8.0,type4,3.0,1
M,30.0,4,Married,Franklin,IT,Behavioral,6.0,1,36,1,3,4.0,type3,4.0,0
M,39.0,5,Single,Franklin,Operarions,Analytical,15.0,2,28,0,4,8.0,type3,1.0,0
F,39.0,4,Married,Washington,Marketing,Conceptual,17.0,4,33,1,2,5.0,type2,2.0,0
M,54.0,4,Married,Clinton,Logistics,Behavioral,15.0,1,70,0,3,6.0,type2,4.0,1
F,65.0,3,Married,Lebanon,Sales,Conceptual,29.0,1,27,2,4,5.0,type3,1.0,0
M,27.0,5,Single,Clinton,Logistics,Analytical,4.0,3,30,1,5,7.0,type2,4.0,1
F,37.0,3,Married,Lebanon,Human Resource Management,Directive,11.0,2,40,1,4,10.0,type2,4.0,1
F,26.0,3,Married,Clinton,Security,Conceptual,2.0,1,68,2,3,8.0,type3,3.0,0
F,51.0,3,Single,Lebanon,IT,Analytical,22.0,4,32,1,2,8.0,type2,1.0,1
F,54.0,3,Married,Washington,Operarions,Directive,25.0,2,43,1,2,6.0,type3,3.0,0
M,19.0,1,Single,Lebanon,Purchasing,Conceptual,0.0,0,38,0,3,6.0,type0,4.0,1
F,47.0,3,Married,Springfield,Logistics,Behavioral,10.0,1,23,1,3,8.0,type3,2.0,1
M,25.0,3,Single,Clinton,IT,Analytical,6.0,4,49,0,2,4.0,type2,3.0,1
F,47.0,2,Married,Franklin,IT,Behavioral,16.0,1,46,0,5,8.0,type3,3.0,0
M,52.0,4,Married,Clinton,Security,Conceptual,27.0,4,69,0,3,8.0,type3,1.0,0
M,36.0,3,Married,Lebanon,Sales,Directive,10.0,2,66,1,3,5.0,type2,2.0,1
M,50.0,1,Single,Springfield,Operarions,Directive,26.0,2,51,0,4,5.0,type2,1.0,1
M,53.0,3,Single,Springfield,IT,Analytical,24.0,4,56,2,3,6.0,type4,1.0,1
M,45.0,4,Single,Springfield,R&D,Behavioral,15.0,1,22,0,3,6.0,type2,3.0,1
M,43.0,4,Married,Washington,Quality,Directive,7.0,1,30,0,4,7.0,type3,1.0,1
M,42.0,3,Single,Springfield,Logistics,Directive,3.0,3,27,1,3,8.0,type3,2.0,0
F,46.0,2,Married,Lebanon,Sales,Behavioral,11.0,3,74,0,1,4.0,type2,3.0,1
F,65.0,5,Married,Springfield,Logistics,Analytical,36.0,1,35,0,3,4.0,type2,1.0,0
F,65.0,5,Married,Springfield,Sales,Directive,28.0,4,27,1,3,5.0,type2,2.0,0
F,60.0,3,Single,Franklin,Logistics,Conceptual,27.0,2,32,2,2,5.0,type3,3.0,1
F,32.0,4,Married,Franklin,Purchasing,Conceptual,7.0,4,59,2,1,5.0,type3,3.0,1
M,40.0,5,Married,Lebanon,Sales,Analytical,16.0,4,56,1,1,6.0,type2,3.0,0
F,28.0,5,Married,Franklin,IT,Directive,4.0,2,36,2,2,2.0,type3,1.0,0
M,21.0,3,Married,Franklin,Operarions,Directive,2.0,2,24,2,5,4.0,type3,3.0,1
F,30.0,1,Single,Lebanon,Operarions,Directive,8.0,2,62,1,3,8.0,type2,4.0,0
F,37.0,4,Single,Springfield,Logistics,Conceptual,12.0,4,59,1,2,4.0,type4,3.0,1
F,45.0,4,Married,Franklin,Purchasing,Analytical,17.0,2,66,1,3,6.0,type3,5.0,1
M,26.0,2,Married,Franklin,IT,Directive,4.0,1,73,2,3,6.0,type3,3.0,1
M,44.0,3,Married,Franklin,Sales,Directive,18.0,2,73,1,2,8.0,type0,2.0,1
F,25.0,2,Married,Lebanon,IT,Conceptual,6.0,2,74,1,3,9.0,type2,1.0,0
M,30.0,3,Married,Springfield,Logistics,Behavioral,6.0,1,37,2,2,3.0,type2,5.0,1
F,45.0,4,Married,Washington,IT,Directive,11.0,2,28,0,3,5.0,type3,3.0,1
F,54.0,2,Single,Washington,Logistics,Directive,17.0,2,73,1,3,5.0,type3,2.0,0
F,34.0,4,Single,Franklin,Logistics,Analytical,9.0,2,58,0,4,7.0,type2,2.0,1
F,51.0,1,Single,Lebanon,R&D,Directive,26.0,2,33,1,4,5.0,type2,2.0,1
F,63.0,4,Single,Franklin,Marketing,Directive,40.0,2,73,1,2,4.0,type3,2.0,0
F,50.0,4,Single,Lebanon,Logistics,Analytical,12.0,2,70,1,4,6.0,type3,1.0,1
F,26.0,1,Single,Franklin,Sales,Analytical,3.0,2,57,1,3,9.0,type2,4.0,0
M,38.0,4,Single,Springfield,Production,Analytical,9.0,3,28,0,5,6.0,type3,5.0,1
F,58.0,4,Single,Clinton,Marketing,Directive,21.0,4,24,0,5,5.0,type3,2.0,1
F,52.0,3,Single,Washington,Sales,Directive,20.0,2,69,0,2,5.0,type3,1.0,1
F,53.0,5,Married,Lebanon,IT,Behavioral,26.0,4,67,1,2,2.0,type3,4.0,0
M,65.0,4,Single,Washington,IT,Analytical,36.0,2,64,0,3,2.0,type0,1.0,0
F,33.0,4,Married,Washington,Production,Analytical,11.0,2,29,2,5,6.0,type2,3.0,1
F,54.0,4,Single,Lebanon,Human Resource Management,Analytical,19.0,2,45,1,1,7.0,type2,4.0,1
F,38.0,3,Married,Lebanon,IT,Directive,13.0,3,41,1,2,6.0,type0,2.0,1
F,28.0,4,Single,Lebanon,R&D,Analytical,6.0,3,64,2,2,6.0,type3,1.0,0
M,56.0,3,Single,Lebanon,R&D,Analytical,33.0,2,34,0,1,7.0,type3,1.0,1
F,45.0,3,Married,Washington,IT,Behavioral,10.0,4,33,2,2,10.0,type2,2.0,1
F,46.0,3,Married,Clinton,Operarions,Analytical,18.0,2,36,1,3,6.0,type0,2.0,1
F,65.0,5,Married,Clinton,Operarions,Directive,34.0,1,52,2,3,5.0,type3,2.0,1
M,41.0,3,Single,Washington,Production,Directive,16.0,3,31,0,4,5.0,type2,4.0,1
F,31.0,1,Married,Springfield,IT,Directive,5.0,1,26,0,3,4.0,type3,5.0,0
F,47.0,4,Married,Lebanon,R&D,Directive,11.0,2,21,0,2,5.0,type3,4.0,0
F,21.0,4,Married,Springfield,Purchasing,Directive,2.0,1,50,1,1,6.0,type2,2.0,0
F,25.0,4,Single,Clinton,Purchasing,Analytical,6.0,4,32,1,1,4.0,type3,2.0,1
M,45.0,4,Married,Franklin,IT,Behavioral,7.0,1,22,2,1,7.0,type4,2.0,1
M,29.0,3,Single,Lebanon,IT,Behavioral,6.0,4,59,1,3,6.0,type3,3.0,1
M,50.0,5,Married,Springfield,Purchasing,Directive,13.0,4,31,0,1,8.0,type1,2.0,1
M,53.0,3,Married,Franklin,Accounting and Finance,Analytical,18.0,4,31,1,1,8.0,type2,3.0,0
F,46.0,2,Single,Springfield,R&D,Behavioral,23.0,4,51,1,3,4.0,type2,3.0,0
M,45.0,4,Married,Springfield,Logistics,Conceptual,7.0,3,64,0,3,9.0,type3,1.0,0
F,54.0,3,Single,Lebanon,IT,Behavioral,20.0,2,59,1,3,7.0,type2,1.0,0
F,30.0,3,Single,Springfield,Purchasing,Analytical,8.0,2,60,0,5,5.0,type3,3.0,1
F,55.0,4,Married,Springfield,Marketing,Directive,24.0,2,68,1,2,5.0,type2,2.0,1
F,52.0,3,Single,Springfield,Sales,Directive,16.0,4,57,0,3,5.0,type2,4.0,0
F,54.0,3,Married,Washington,Sales,Directive,15.0,4,39,1,2,6.0,type2,1.0,0
F,59.0,4,Single,Washington,Sales,Conceptual,22.0,1,34,0,1,6.0,type2,1.0,0
M,31.0,2,Married,Franklin,Sales,Analytical,5.0,3,30,2,2,6.0,type3,1.0,1
F,54.0,5,Single,Lebanon,Sales,Directive,17.0,2,29,0,1,5.0,type2,1.0,1
F,32.0,5,Single,Lebanon,Sales,Analytical,7.0,3,47,2,4,4.0,type2,3.0,1
F,25.0,5,Married,Washington,Operarions,Analytical,6.0,4,71,2,2,5.0,type2,1.0,1
F,49.0,3,Single,Springfield,IT,Directive,10.0,1,59,1,2,3.0,type2,4.0,1
F,51.0,2,Single,Springfield,Operarions,Analytical,12.0,1,60,1,4,8.0,type2,3.0,1
M,27.0,2,Married,Springfield,IT,Directive,5.0,3,55,2,5,4.0,type3,2.0,1
F,21.0,3,Married,Franklin,Logistics,Conceptual,2.0,2,73,1,5,6.0,type2,4.0,0
M,54.0,5,Married,Lebanon,Operarions,Analytical,26.0,2,46,1,3,8.0,type3,2.0,0
F,28.0,2,Married,Lebanon,Sales,Conceptual,5.0,4,55,0,3,1.0,type3,4.0,1
F,21.0,5,Married,Springfield,Purchasing,Behavioral,2.0,2,20,1,1,8.0,type2,1.0,0
F,39.0,3,Married,Washington,Sales,Conceptual,16.0,2,59,0,3,4.0,type2,1.0,0
F,49.0,3,Single,Springfield,IT,Directive,10.0,1,59,1,2,3.0,type2,4.0,1
F,22.0,3,Single,Lebanon,IT,Behavioral,3.0,3,58,2,1,8.0,type3,1.0,0
F,55.0,1,Married,Lebanon,Logistics,Conceptual,24.0,2,22,2,2,8.0,type3,3.0,1
F,22.0,3,Married,Lebanon,Marketing,Behavioral,3.0,3,56,1,4,9.0,type3,3.0,1
M,43.0,4,Married,Washington,Quality,Directive,7.0,1,30,0,4,7.0,type3,1.0,1
F,31.0,2,Single,Clinton,Operarions,Conceptual,3.0,2,73,1,4,4.0,type3,3.0,1
F,49.0,3,Married,Lebanon,R&D,Analytical,13.0,3,73,0,3,8.0,type3,3.0,1
F,22.0,2,Single,Washington,Sales,Directive,3.0,3,60,0,1,6.0,type3,2.0,1
F,26.0,3,Single,Franklin,Logistics,Conceptual,2.0,2,33,1,3,6.0,type2,3.0,0
M,42.0,3,Single,Lebanon,IT,Directive,14.0,2,50,1,1,4.0,type3,2.0,1
M,39.0,1,Married,Franklin,Logistics,Directive,15.0,3,50,0,3,6.0,type3,5.0,1
M,61.0,4,Single,Franklin,Purchasing,Analytical,37.0,2,57,0,1,4.0,type2,3.0,1
M,28.0,3,Married,Washington,IT,Analytical,5.0,3,35,1,3,7.0,type2,4.0,0
M,50.0,3,Married,Washington,Operarions,Directive,16.0,4,29,1,2,5.0,type2,2.0,1
F,19.0,4,Married,Lebanon,Logistics,Conceptual,0.0,0,23,0,3,8.0,type2,3.0,1
F,34.0,3,Married,Franklin,IT,Conceptual,8.0,3,20,2,3,9.0,type2,3.0,1
F,45.0,2,Married,Springfield,Human Resource Management,Behavioral,16.0,2,68,0,4,4.0,type2,3.0,0
F,34.0,5,Married,Washington,Operarions,Conceptual,12.0,3,66,1,5,3.0,type2,1.0,1
F,60.0,3,Married,Springfield,Accounting and Finance,Behavioral,21.0,4,41,0,3,6.0,type3,4.0,1
F,32.0,1,Single,Springfield,Logistics,Conceptual,6.0,2,69,1,2,6.0,type2,4.0,1
M,23.0,1,Married,Washington,R&D,Behavioral,4.0,4,33,0,2,9.0,type0,1.0,1
M,53.0,4,Single,Springfield,Accounting and Finance,Behavioral,26.0,4,31,1,1,5.0,type1,2.0,1
F,31.0,4,Married,Lebanon,Accounting and Finance,Behavioral,2.0,2,55,1,1,6.0,type2,3.0,0
M,23.0,2,Single,Springfield,Human Resource Management,Conceptual,4.0,1,30,1,4,9.0,type2,3.0,0
F,60.0,3,Single,Springfield,IT,Directive,34.0,2,55,1,3,7.0,type2,4.0,1
F,40.0,3,Married,Clinton,Purchasing,Behavioral,17.0,2,51,0,2,8.0,type3,1.0,0
F,43.0,3,Single,Franklin,Security,Behavioral,8.0,2,66,2,2,7.0,type2,3.0,0
F,24.0,3,Single,Springfield,Sales,Conceptual,5.0,3,51,0,4,5.0,type2,5.0,1
M,32.0,3,Married,Springfield,Marketing,Conceptual,3.0,3,72,2,3,8.0,type2,3.0,1
F,49.0,4,Married,Franklin,Purchasing,Analytical,16.0,2,54,1,3,8.0,type2,3.0,1
F,31.0,3,Single,Franklin,IT,Analytical,2.0,2,61,1,3,5.0,type3,1.0,0
F,32.0,1,Single,Springfield,Logistics,Conceptual,6.0,2,69,1,2,6.0,type2,4.0,1
F,29.0,4,Married,Springfield,Logistics,Analytical,5.0,4,36,0,2,7.0,type4,3.0,0
M,19.0,1,Single,Lebanon,IT,Analytical,0.0,0,40,1,2,4.0,type2,3.0,1
M,59.0,5,Married,Springfield,Operarions,Analytical,33.0,1,20,1,3,4.0,type2,4.0,0
F,32.0,4,Single,Clinton,Security,Analytical,4.0,4,57,2,2,4.0,type2,4.0,1
F,47.0,3,Single,Clinton,Logistics,Conceptual,24.0,3,40,1,4,8.0,type2,2.0,1
F,58.0,5,Married,Lebanon,Logistics,Directive,31.0,3,66,0,2,4.0,type3,4.0,0
F,62.0,3,Married,Lebanon,Accounting and Finance,Conceptual,26.0,2,42,1,2,8.0,type2,1.0,1
F,65.0,3,Married,Washington,Logistics,Conceptual,37.0,1,47,1,3,8.0,type2,4.0,0
M,58.0,4,Married,Washington,Sales,Directive,24.0,3,29,1,2,2.0,type4,4.0,0
M,32.0,4,Single,Springfield,Operarions,Conceptual,6.0,2,57,1,2,6.0,type2,1.0,1
M,41.0,3,Married,Springfield,Purchasing,Directive,10.0,1,39,1,3,5.0,type2,2.0,0
F,59.0,2,Single,Springfield,Logistics,Directive,21.0,2,64,1,1,8.0,type2,3.0,0
M,24.0,3,Single,Clinton,Accounting and Finance,Directive,5.0,3,68,0,2,8.0,type2,2.0,1
F,25.0,1,Married,Lebanon,Logistics,Directive,6.0,4,61,2,3,6.0,type3,2.0,1
F,47.0,3,Single,Lebanon,IT,Conceptual,8.0,3,74,1,1,9.0,type2,2.0,0
F,42.0,3,Single,Lebanon,IT,Analytical,17.0,2,59,1,3,4.0,type2,5.0,0
F,44.0,3,Married,Franklin,R&D,Conceptual,15.0,1,33,1,1,8.0,type2,3.0,1
F,37.0,3,Married,Springfield,Operarions,Directive,12.0,2,38,1,3,5.0,type2,1.0,1
F,25.0,4,Single,Franklin,Security,Conceptual,6.0,3,20,0,3,5.0,type2,1.0,1
F,33.0,3,Married,Franklin,Operarions,Directive,10.0,4,59,0,5,8.0,type2,4.0,0
F,27.0,3,Single,Clinton,R&D,Conceptual,4.0,1,35,0,3,6.0,type0,1.0,1
F,40.0,5,Single,Franklin,Logistics,Analytical,16.0,2,32,1,2,10.0,type2,4.0,0
F,24.0,4,Single,Lebanon,Sales,Behavioral,5.0,4,36,0,3,4.0,type2,1.0,1
M,30.0,4,Single,Washington,IT,Conceptual,8.0,4,29,0,5,4.0,type2,1.0,1
F,65.0,1,Single,Clinton,IT,Behavioral,28.0,1,54,2,3,5.0,type2,3.0,0
F,60.0,4,Single,Springfield,Logistics,Analytical,27.0,2,24,1,2,6.0,type3,3.0,1
F,59.0,3,Single,Franklin,Accounting and Finance,Directive,30.0,2,69,1,3,8.0,type2,3.0,1
F,59.0,3,Married,Franklin,Operarions,Behavioral,31.0,1,40,0,3,7.0,type2,3.0,0
F,58.0,4,Single,Lebanon,IT,Directive,31.0,3,58,1,1,8.0,type3,3.0,1
F,30.0,5,Married,Lebanon,Logistics,Directive,7.0,4,67,2,2,7.0,type4,1.0,0
M,20.0,3,Single,Springfield,Logistics,Conceptual,1.0,1,60,1,4,8.0,type2,4.0,1
M,47.0,3,Single,Lebanon,IT,Conceptual,21.0,1,24,2,3,6.0,type2,4.0,0
F,40.0,1,Single,Springfield,Human Resource Management,Behavioral,13.0,4,53,0,2,5.0,type3,3.0,1
M,37.0,5,Married,Springfield,IT,Directive,14.0,2,44,1,3,6.0,type2,2.0,0
F,42.0,4,Single,Franklin,Purchasing,Analytical,7.0,4,71,1,1,8.0,type3,1.0,1
